t	p	p+skin
68.04486573	2706.312945	2686.312945
69.62983426	2705.053677	2685.053677
71.25172146	2703.793676	2683.793676
72.91138725	2702.532952	2682.532952
74.60971163	2701.271519	2681.271519
76.34759507	2700.009388	2680.009388
78.12595901	2698.746569	2678.746569
79.94574637	2697.483075	2677.483075
81.80792203	2696.218917	2676.218917
83.71347332	2694.954105	2674.954105
85.66341061	2693.688650	2673.688650
87.65876777	2692.422563	2672.422563
89.70060277	2691.155854	2671.155854
91.78999822	2689.888535	2669.888535
93.92806194	2688.620614	2668.620614
96.11592756	2687.352105	2667.352105
98.35475512	2686.083012	2666.083012
100.6457317	2684.813348	2664.813348
102.9900719	2683.543120	2663.543120
105.3890189	2682.272343	2662.272343
107.8438445	2681.001022	2661.001022
110.3558503	2679.729168	2659.729168
112.9263683	2678.456790	2658.456790
115.5567613	2677.183896	2657.183896
118.2484241	2675.910496	2655.910496
121.0027837	2674.636597	2654.636597
123.8213006	2673.362208	2653.362208
126.7054692	2672.087338	2652.087338
129.6568187	2670.811995	2650.811995
132.676914	2669.536188	2649.536188
135.7673563	2668.259924	2648.259924
138.9297843	2666.983216	2646.983216
142.1658747	2665.706063	2645.706063
145.4773433	2664.428477	2644.428477
148.865946	2663.150466	2643.150466
152.3334793	2661.872036	2641.872036
155.8817818	2660.593196	2640.593196
159.512735	2659.313951	2639.313951
163.2282639	2658.034310	2638.034310
167.0303386	2656.754280	2636.754280
170.920975	2655.473867	2635.473867
174.9022359	2654.193078	2634.193078
178.9762323	2652.911919	2632.911919
183.1451243	2651.620907	2631.620907
187.4111223	2650.348520	2630.348520
191.7764881	2649.066293	2629.066293
196.2435364	2647.783722	2627.783722
200.8146356	2646.500813	2626.500813
205.4922093	2645.217572	2625.217572
210.2787378	2643.934006	2623.934006
215.1767588	2642.650120	2622.650120
220.1888694	2641.365920	2621.365920
225.317727	2640.081411	2620.081411
230.5660511	2638.796599	2618.796599
235.9366243	2637.511491	2617.511491
241.4322943	2636.226090	2616.226090
247.0559749	2634.940402	2614.940402
252.8106478	2633.654433	2613.654433
258.6993643	2632.368187	2612.368187
264.7252465	2631.081670	2611.081670
270.8914897	2629.794886	2609.794886
277.201363	2628.507840	2608.507840
283.6582123	2627.220538	2607.220538
290.2654608	2625.932984	2605.932984
297.0266119	2624.645182	2604.645182
303.9452505	2623.357137	2603.357137
311.0250449	2622.068853	2602.068853
318.2697489	2620.780335	2600.780335
325.6832037	2619.491587	2599.491587
333.26934	2618.202614	2598.202614
341.0321802	2616.913419	2596.913419
348.9758401	2615.624007	2595.624007
357.1045317	2614.334381	2594.334381
365.4225648	2613.044546	2593.044546
373.9343498	2611.754505	2591.754505
382.6443997	2610.464262	2590.464262
391.5573327	2609.173822	2589.173822
400.6778747	2607.883187	2587.883187
410.0108613	2606.592361	2586.592361
419.5612411	2605.301348	2585.301348
429.3340779	2604.010152	2584.010152
439.3345532	2602.718775	2582.718775
449.5679696	2601.427222	2581.427222
460.0397528	2600.135494	2580.135494
470.7554552	2598.843597	2578.843597
481.7207584	2597.551532	2577.551532
492.9414763	2596.259303	2576.259303
504.4235583	2594.966914	2574.966914
516.1730924	2593.674366	2573.674366
