tD/rD2	pD	pD'	pD/2pD'
2.187761624	0.851523152	0.446007626	0.95460605
2.238721139	0.861806277	0.447169269	0.96362422
2.290867653	0.872115878	0.448307392	0.97267622
2.344228815	0.882451418	0.449422407	0.98176171
2.398832919	0.89281237	0.450514721	0.99088035
2.454708916	0.903198216	0.451584735	1.00003183
2.511886432	0.913608448	0.452632848	1.00921581
2.570395783	0.924042564	0.453659453	1.01843195
2.630267992	0.934500075	0.454664939	1.02767994
2.691534804	0.944980499	0.45564969	1.03695944
2.754228703	0.955483363	0.456614087	1.04627013
2.818382931	0.966008202	0.457558503	1.05561168
2.884031503	0.97655456	0.458483308	1.06498377
2.951209227	0.987121991	0.459388868	1.07438606
3.01995172	0.997710054	0.460275544	1.08381823
3.090295433	1.00831832	0.461143689	1.09327997
3.16227766	1.018946366	0.461993655	1.10277095
3.235936569	1.029593778	0.462825787	1.11229085
3.311311215	1.040260147	0.463640425	1.12183935
3.388441561	1.050945076	0.464437905	1.13141613
3.467368505	1.061648174	0.465218557	1.14102088
3.548133892	1.072369056	0.465982708	1.15065327
3.630780548	1.083107347	0.466730676	1.16031300
3.715352291	1.093862676	0.467462779	1.16999976
3.801893963	1.104634684	0.468179326	1.17971322
3.89045145	1.115423014	0.468880624	1.18945309
3.981071706	1.12622732	0.469566974	1.19921905
4.073802778	1.13704726	0.470238671	1.20901080
4.168693835	1.147882501	0.470896006	1.21882803
4.265795188	1.158732714	0.471539266	1.22867044
4.365158322	1.16959758	0.472168733	1.23853773
4.466835922	1.180476784	0.472784683	1.24842960
4.570881896	1.191370018	0.473387389	1.25834575
4.677351413	1.20227698	0.473977118	1.26828589
4.786300923	1.213197373	0.474554133	1.27824972
4.897788194	1.224130909	0.475118692	1.28823695
5.011872336	1.235077304	0.475671048	1.29824730
5.12861384	1.246036279	0.476211452	1.30828046
5.248074603	1.257007562	0.476740149	1.31833617
5.370317964	1.267990886	0.477257377	1.32841413
5.495408739	1.27898599	0.477763374	1.33851406
5.623413252	1.289992618	0.478258372	1.34863569
5.754399373	1.301010519	0.478742597	1.35877873
5.888436554	1.312039449	0.479216274	1.36894292
6.025595861	1.323079165	0.479679621	1.37912797
6.165950019	1.334129434	0.480132855	1.38933362
6.309573445	1.345190024	0.480576185	1.39955960
6.45654229	1.356260711	0.481009819	1.40980564
6.60693448	1.367341272	0.48143396	1.42007148
6.760829754	1.378431492	0.481848808	1.43035686
6.918309709	1.38953116	0.482254558	1.44066151
7.079457844	1.400640067	0.482651403	1.45098518
7.244359601	1.411758012	0.483039529	1.46132762
7.413102413	1.422884794	0.483419123	1.47168857
7.58577575	1.434020221	0.483790364	1.48206778
7.762471166	1.445164101	0.48415343	1.49246500
7.943282347	1.456316249	0.484508494	1.50288000
8.128305162	1.467476482	0.484855728	1.51331251
8.317637711	1.478644621	0.485195299	1.52376231
8.511380382	1.489820493	0.485527369	1.53422916
